id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
201,1168,12,4,none,new car,1,none,existing credits paid back duly till now,male married or widowed,27,1 to 4 y.,unskilled resident,yes,3,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
202,5117,27,3,none,business,2,none,delay in paying off in the past,male single,26,4 to 7 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,no checking account,0
203,902,12,4,none,requalification,1,none,existing credits paid back duly till now,male married or widowed,21,4 to 7 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
204,1495,12,4,none,new car,2,none,critical account or other credits existing(not at this bank),male single,38,7+ y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,2,none,no checking account,0
205,10623,30,3,none,used car,3,none,critical account or other credits existing(not at this bank),male single,38,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,2,yes,less-than 0 cu,0
206,1935,12,4,none,furniture or equipment,3,none,critical account or other credits existing(not at this bank),male single,43,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,yes,no checking account,0
207,1424,12,4,none,household appliances,1,none,critical account or other credits existing(not at this bank),male single,26,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
208,6568,24,2,none,business,1,stores,existing credits paid back duly till now,male married or widowed,21,1 to 4 y.,unskilled resident,yes,2,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
209,1413,12,3,none,used car,1,none,existing credits paid back duly till now,male single,55,4 to 7 y.,skilled employee,no,2,own,building society savings agreement or life insurance,greater-than 1000 cu,1,none,no checking account,0
210,3074,9,1,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,33,1 to 4 y.,skilled employee,yes,2,own,real estate,unknown or no savings account,2,none,no checking account,0
211,3835,36,2,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,45,7+ y.,unskilled resident,yes,4,own,real estate,unknown or no savings account,1,yes,no checking account,0
212,5293,27,2,none,business,2,stores,no credits or all paid,male single,50,unemployed,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
213,1908,30,4,none,business,1,none,delay in paying off in the past,male single,66,7+ y.,management or self-employed or highly qualified employee,yes,4,own,real estate,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,1
214,3342,36,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,51,7+ y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,yes,no checking account,0
215,932,6,1,none,requalification,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,39,4 to 7 y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,0
216,3104,18,3,none,business,1,bank,no credits or all paid,male single,31,4 to 7 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,0
217,3913,36,2,none,television or radio,1,none,existing credits paid back duly till now,male single,23,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
218,3021,24,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male divorced or separated,24,1 to 4 y.,unskilled resident,yes,2,rent,real estate,less-than 100 cu,1,none,less-than 0 cu,0
219,1364,10,2,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,64,1 to 4 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
220,625,12,4,guarantor,television or radio,1,bank,existing credits paid back duly till now,male married or widowed,26,less-than 1 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
221,1200,12,4,none,education,1,bank,existing credits paid back duly till now,female divorced or separated or married,23,1 to 4 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,1,yes,less-than 0 cu,0
222,707,12,4,none,television or radio,2,bank,existing credits paid back duly till now,male single,30,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
223,2978,24,4,none,business,2,none,delay in paying off in the past,male single,32,1 to 4 y.,skilled employee,yes,4,own,real estate,unknown or no savings account,2,yes,no checking account,0
224,4657,15,3,none,used car,1,none,existing credits paid back duly till now,male single,30,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
225,2613,36,4,none,repairs,2,none,no credits or all paid,male single,27,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
226,10961,48,1,co-applicant,television or radio,2,bank,existing credits paid back duly till now,male single,27,4 to 7 y.,skilled employee,yes,2,own,unknown or no property,greater-than 1000 cu,1,yes,0 to 200 cu,1
227,7865,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,53,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
228,1478,9,4,none,television or radio,1,none,existing credits paid back duly till now,male single,22,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,1
229,3149,24,4,none,furniture or equipment,1,bank,existing credits paid back duly till now,male single,22,less-than 1 y.,skilled employee,yes,1,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,0
230,4210,36,4,none,television or radio,1,none,existing credits paid back duly till now,male single,26,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,1
231,2507,9,2,none,new car,1,none,existing credits paid back duly till now,male single,51,7+ y.,unskilled resident,yes,4,for free,unknown or no property,500 to 1000 cu,1,none,no checking account,0
232,2141,12,3,none,television or radio,1,none,existing credits paid back duly till now,male single,35,4 to 7 y.,skilled employee,yes,1,own,unknown or no property,100 to 500 cu,1,none,no checking account,0
233,866,18,4,guarantor,television or radio,1,none,existing credits paid back duly till now,male married or widowed,25,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
234,1544,4,2,none,television or radio,3,none,critical account or other credits existing(not at this bank),male single,42,4 to 7 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,2,none,no checking account,0
235,1823,24,4,none,television or radio,1,stores,existing credits paid back duly till now,male single,30,unemployed,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,2,none,less-than 0 cu,1
236,14555,6,1,none,new car,1,none,existing credits paid back duly till now,male single,23,unemployed,unemployed or unskilled non-resident,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,0 to 200 cu,1
237,2767,21,4,none,business,2,bank,existing credits paid back duly till now,male divorced or separated,61,7+ y.,unskilled resident,yes,2,rent,car or other,100 to 500 cu,1,none,0 to 200 cu,1
238,1291,12,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,35,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
239,2522,30,1,guarantor,television or radio,1,none,existing credits paid back duly till now,male single,39,7+ y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,2,none,less-than 0 cu,0
240,915,24,4,none,new car,1,bank,existing credits paid back duly till now,female divorced or separated or married,29,7+ y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,less-than 0 cu,1
241,1595,6,3,none,television or radio,1,none,existing credits paid back duly till now,male single,51,4 to 7 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,2,none,no checking account,0
242,4605,48,3,none,used car,2,none,no credits or all paid,male single,24,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,2,none,less-than 0 cu,1
243,1185,12,3,none,business,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,27,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
244,3447,12,4,none,requalification,1,none,all credits at this bank paid back duly,female divorced or separated or married,35,1 to 4 y.,unskilled resident,yes,3,own,real estate,500 to 1000 cu,2,none,no checking account,0
245,1258,24,4,none,business,1,none,existing credits paid back duly till now,male single,25,4 to 7 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,yes,no checking account,0
246,717,12,4,none,television or radio,3,none,critical account or other credits existing(not at this bank),male single,52,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,no checking account,0
247,1204,6,4,none,new car,1,bank,no credits or all paid,male single,35,1 to 4 y.,skilled employee,no,1,rent,unknown or no property,100 to 500 cu,1,none,no checking account,0
248,1925,24,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,26,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
249,433,18,3,co-applicant,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,22,unemployed,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,no checking account,1
250,666,6,3,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,39,4 to 7 y.,unskilled resident,yes,4,own,real estate,greater-than 1000 cu,1,yes,less-than 0 cu,0
251,2251,12,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,46,1 to 4 y.,unskilled resident,yes,2,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
252,2150,30,4,guarantor,new car,1,bank,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,skilled employee,yes,2,own,unknown or no property,less-than 100 cu,1,none,0 to 200 cu,1
253,4151,24,2,none,furniture or equipment,2,none,delay in paying off in the past,male single,35,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,100 to 500 cu,1,none,no checking account,0
254,2030,9,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,24,4 to 7 y.,skilled employee,yes,1,own,car or other,unknown or no savings account,1,yes,0 to 200 cu,0
255,7418,60,1,none,television or radio,1,none,delay in paying off in the past,male single,27,1 to 4 y.,unskilled resident,yes,1,own,real estate,unknown or no savings account,1,none,0 to 200 cu,0
256,2684,24,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,35,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
257,2149,12,4,none,television or radio,1,none,all credits at this bank paid back duly,male divorced or separated,29,1 to 4 y.,skilled employee,yes,1,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,1
258,3812,15,1,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,4,own,car or other,100 to 500 cu,1,yes,no checking account,0
259,1154,11,4,none,television or radio,3,none,critical account or other credits existing(not at this bank),female divorced or separated or married,57,unemployed,unskilled resident,yes,4,own,real estate,100 to 500 cu,1,none,no checking account,0
260,1657,12,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,27,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
261,1603,24,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,55,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
262,5302,18,2,none,new car,3,none,critical account or other credits existing(not at this bank),male single,36,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
263,2748,12,2,none,education,3,bank,critical account or other credits existing(not at this bank),female divorced or separated or married,57,7+ y.,unskilled resident,yes,4,for free,unknown or no property,less-than 100 cu,1,none,no checking account,0
264,1231,10,3,none,new car,2,none,critical account or other credits existing(not at this bank),male single,32,7+ y.,unskilled resident,no,4,own,real estate,less-than 100 cu,2,none,no checking account,0
265,802,15,4,none,television or radio,1,none,existing credits paid back duly till now,male single,37,7+ y.,skilled employee,yes,3,own,car or other,less-than 100 cu,2,none,0 to 200 cu,1
266,6304,36,4,none,business,2,none,critical account or other credits existing(not at this bank),male single,36,7+ y.,skilled employee,yes,4,own,real estate,unknown or no savings account,1,none,no checking account,0
267,1533,24,4,none,television or radio,1,stores,existing credits paid back duly till now,female divorced or separated or married,38,less-than 1 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,yes,no checking account,0
268,8978,14,1,none,new car,1,none,existing credits paid back duly till now,male divorced or separated,45,7+ y.,management or self-employed or highly qualified employee,no,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
269,999,24,4,none,television or radio,2,none,existing credits paid back duly till now,male single,25,7+ y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,no checking account,0
270,2662,18,4,none,new car,1,none,existing credits paid back duly till now,male single,32,4 to 7 y.,skilled employee,no,3,own,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
271,1402,12,3,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,4 to 7 y.,skilled employee,yes,4,rent,car or other,500 to 1000 cu,1,yes,no checking account,0
272,12169,48,4,co-applicant,new car,1,none,all credits at this bank paid back duly,male single,36,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,unknown or no savings account,1,yes,0 to 200 cu,0
273,3060,48,4,none,television or radio,2,none,existing credits paid back duly till now,male single,28,4 to 7 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,1
274,11998,30,1,none,repairs,1,none,existing credits paid back duly till now,male divorced or separated,34,less-than 1 y.,unskilled resident,yes,1,own,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
275,2697,9,1,none,television or radio,1,none,existing credits paid back duly till now,male single,32,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,2,none,no checking account,0
276,2404,18,2,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,26,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
277,1262,12,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male divorced or separated,49,7+ y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,less-than 0 cu,0
278,4611,6,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,32,less-than 1 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,1
279,1901,24,4,none,television or radio,1,none,existing credits paid back duly till now,male single,29,1 to 4 y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,100 to 500 cu,1,yes,no checking account,0
280,3368,15,3,none,used car,2,none,critical account or other credits existing(not at this bank),male single,23,7+ y.,skilled employee,yes,4,rent,unknown or no property,greater-than 1000 cu,1,yes,no checking account,0
281,1574,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,50,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
282,1445,18,4,none,television or radio,1,bank,all credits at this bank paid back duly,male single,49,4 to 7 y.,unskilled resident,yes,4,own,car or other,unknown or no savings account,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
283,1520,15,4,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,63,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
284,3878,24,4,none,new car,1,none,critical account or other credits existing(not at this bank),male divorced or separated,37,less-than 1 y.,skilled employee,yes,2,own,car or other,100 to 500 cu,1,yes,0 to 200 cu,0
285,10722,47,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,35,less-than 1 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,1,yes,less-than 0 cu,0
286,4788,48,4,none,used car,1,none,existing credits paid back duly till now,male single,26,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,2,none,less-than 0 cu,0
287,7582,48,2,none,other,1,none,delay in paying off in the past,male single,31,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,100 to 500 cu,1,yes,0 to 200 cu,0
288,1092,12,4,guarantor,television or radio,2,none,existing credits paid back duly till now,female divorced or separated or married,49,1 to 4 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,yes,0 to 200 cu,0
289,1024,24,4,none,television or radio,1,stores,delay in paying off in the past,male married or widowed,48,less-than 1 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
290,1076,12,2,none,business,1,none,existing credits paid back duly till now,male married or widowed,26,1 to 4 y.,skilled employee,no,2,own,real estate,less-than 100 cu,1,yes,no checking account,0
291,9398,36,1,none,used car,1,none,existing credits paid back duly till now,male married or widowed,28,less-than 1 y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
292,6419,24,2,none,used car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,44,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,2,yes,less-than 0 cu,0
293,4796,42,4,none,used car,1,none,critical account or other credits existing(not at this bank),male single,56,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
294,7629,48,4,none,business,2,bank,critical account or other credits existing(not at this bank),male divorced or separated,46,7+ y.,management or self-employed or highly qualified employee,yes,2,own,car or other,unknown or no savings account,2,none,no checking account,0
295,9960,48,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,26,less-than 1 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
296,4675,12,1,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,20,less-than 1 y.,skilled employee,yes,4,rent,car or other,unknown or no savings account,1,none,no checking account,0
297,1287,10,4,co-applicant,new car,1,none,existing credits paid back duly till now,male single,45,7+ y.,unskilled resident,no,2,own,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
298,2515,18,3,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,43,1 to 4 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,yes,no checking account,0
299,2745,21,3,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,32,4 to 7 y.,skilled employee,yes,2,own,car or other,greater-than 1000 cu,1,yes,0 to 200 cu,0
300,672,6,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,54,unemployed,unemployed or unskilled non-resident,yes,4,own,real estate,less-than 100 cu,1,yes,no checking account,0
301,3804,36,4,none,television or radio,1,none,no credits or all paid,female divorced or separated or married,42,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
302,1344,24,4,none,new car,2,bank,critical account or other credits existing(not at this bank),male single,37,4 to 7 y.,unskilled resident,yes,2,own,real estate,unknown or no savings account,2,none,greater-than 200 cu or salary assignments for at least 1 year,1
303,1038,10,4,co-applicant,new car,2,none,critical account or other credits existing(not at this bank),male single,49,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,0
304,10127,48,2,none,new car,1,bank,critical account or other credits existing(not at this bank),male single,44,1 to 4 y.,skilled employee,yes,2,for free,unknown or no property,500 to 1000 cu,1,none,no checking account,1
305,1543,6,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male divorced or separated,33,1 to 4 y.,skilled employee,yes,2,own,real estate,greater-than 1000 cu,1,none,no checking account,0
306,4811,30,2,none,used car,1,stores,existing credits paid back duly till now,female divorced or separated or married,24,4 to 7 y.,unskilled resident,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,1,none,no checking account,0
307,727,12,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,33,less-than 1 y.,unskilled resident,yes,3,own,unknown or no property,100 to 500 cu,1,yes,less-than 0 cu,1
308,1237,8,3,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,1
309,276,9,4,none,new car,1,none,existing credits paid back duly till now,male married or widowed,22,1 to 4 y.,unskilled resident,yes,4,rent,real estate,less-than 100 cu,1,none,0 to 200 cu,0
310,5381,48,3,none,other,1,bank,existing credits paid back duly till now,male single,40,unemployed,unemployed or unskilled non-resident,yes,4,for free,unknown or no property,unknown or no savings account,1,yes,0 to 200 cu,0
311,5511,24,4,none,furniture or equipment,1,stores,existing credits paid back duly till now,male single,25,1 to 4 y.,skilled employee,yes,1,own,car or other,100 to 500 cu,1,none,no checking account,0
312,3749,24,2,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,26,less-than 1 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
313,685,12,2,none,new car,1,bank,existing credits paid back duly till now,male married or widowed,25,4 to 7 y.,unskilled resident,yes,3,own,car or other,less-than 100 cu,1,none,0 to 200 cu,1
314,1494,4,1,none,new car,1,none,existing credits paid back duly till now,male single,29,less-than 1 y.,unskilled resident,no,2,own,real estate,unknown or no savings account,2,none,greater-than 200 cu or salary assignments for at least 1 year,0
315,2746,36,4,none,furniture or equipment,1,bank,all credits at this bank paid back duly,male single,31,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
316,708,12,2,guarantor,furniture or equipment,1,none,existing credits paid back duly till now,male single,38,1 to 4 y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,2,none,less-than 0 cu,0
317,4351,24,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,48,1 to 4 y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,0 to 200 cu,0
318,701,12,4,none,education,2,none,critical account or other credits existing(not at this bank),male single,32,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
319,3643,15,1,none,furniture or equipment,2,none,delay in paying off in the past,female divorced or separated or married,27,7+ y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
320,4249,30,4,none,new car,2,none,critical account or other credits existing(not at this bank),male married or widowed,28,unemployed,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,1
321,1938,24,4,none,television or radio,1,none,existing credits paid back duly till now,male divorced or separated,32,less-than 1 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
322,2910,24,2,none,used car,1,none,existing credits paid back duly till now,male single,34,4 to 7 y.,management or self-employed or highly qualified employee,yes,1,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
323,2659,18,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,28,1 to 4 y.,skilled employee,yes,2,own,car or other,greater-than 1000 cu,1,none,less-than 0 cu,0
324,1028,18,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,36,1 to 4 y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,no checking account,0
325,3398,8,1,none,new car,2,none,critical account or other credits existing(not at this bank),male single,39,4 to 7 y.,unskilled resident,no,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
326,5801,12,2,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,49,7+ y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,unknown or no savings account,1,yes,no checking account,0
327,1525,24,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,34,4 to 7 y.,skilled employee,yes,3,own,car or other,greater-than 1000 cu,2,yes,no checking account,0
328,4473,36,4,none,television or radio,1,none,existing credits paid back duly till now,male single,31,7+ y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
329,1068,6,4,none,television or radio,1,none,existing credits paid back duly till now,male single,28,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,2,none,0 to 200 cu,0
330,6615,24,2,none,used car,2,none,critical account or other credits existing(not at this bank),male single,75,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
331,1864,18,4,none,education,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,30,1 to 4 y.,skilled employee,yes,2,own,real estate,100 to 500 cu,1,none,no checking account,1
332,7408,60,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,24,less-than 1 y.,management or self-employed or highly qualified employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,none,0 to 200 cu,1
333,11590,48,2,none,used car,2,bank,critical account or other credits existing(not at this bank),female divorced or separated or married,24,1 to 4 y.,unskilled resident,yes,4,rent,car or other,100 to 500 cu,1,none,no checking account,1
334,4110,24,3,none,furniture or equipment,2,bank,no credits or all paid,male single,23,7+ y.,skilled employee,yes,4,rent,unknown or no property,less-than 100 cu,2,none,less-than 0 cu,1
335,3384,6,1,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male divorced or separated,44,1 to 4 y.,management or self-employed or highly qualified employee,yes,4,rent,real estate,less-than 100 cu,1,yes,less-than 0 cu,1
336,2101,13,2,guarantor,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
337,1275,15,4,none,household appliances,1,none,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,skilled employee,yes,2,rent,car or other,unknown or no savings account,1,none,less-than 0 cu,1
338,4169,24,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,28,1 to 4 y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
339,1521,10,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male divorced or separated,31,1 to 4 y.,unskilled resident,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
340,5743,24,2,none,education,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,24,less-than 1 y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,0
341,3599,21,1,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,26,4 to 7 y.,unskilled resident,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,0
342,3213,18,1,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,25,less-than 1 y.,skilled employee,yes,3,rent,real estate,500 to 1000 cu,1,none,0 to 200 cu,0
343,4439,18,1,co-applicant,business,1,bank,existing credits paid back duly till now,male single,33,7+ y.,management or self-employed or highly qualified employee,yes,1,own,real estate,less-than 100 cu,1,yes,0 to 200 cu,0
344,3949,10,1,guarantor,new car,1,none,existing credits paid back duly till now,male single,37,less-than 1 y.,unskilled resident,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,2,none,greater-than 200 cu or salary assignments for at least 1 year,0
345,1459,15,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,43,1 to 4 y.,unskilled resident,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
346,882,13,4,guarantor,television or radio,2,none,critical account or other credits existing(not at this bank),male single,23,less-than 1 y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
347,3758,24,1,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,23,unemployed,unemployed or unskilled non-resident,yes,4,rent,unknown or no property,500 to 1000 cu,1,none,0 to 200 cu,0
348,1743,6,1,none,business,2,none,delay in paying off in the past,male single,34,1 to 4 y.,unskilled resident,yes,2,own,real estate,100 to 500 cu,1,none,no checking account,0
